"arc_length","retention"
0,3.14797e+24
8.5e-06,1.6611e+23
1.7e-05,1.66401e+23
2.55e-05,1.66694e+23
3.4e-05,1.6699e+23
4.25e-05,1.67289e+23
5.1e-05,1.67591e+23
5.95e-05,1.67896e+23
6.8e-05,1.68203e+23
7.65e-05,1.68514e+23
8.5e-05,1.68827e+23
9.35e-05,1.69143e+23
0.000102,1.69463e+23
0.0001105,1.69785e+23
0.000119,1.70111e+23
0.0001275,1.7044e+23
0.000136,1.70771e+23
0.0001445,1.71106e+23
0.000153,1.71445e+23
0.0001615,1.71786e+23
0.00017,1.72131e+23
0.0001785,1.72479e+23
0.000187,1.7283e+23
0.0001955,1.73185e+23
0.000204,1.73544e+23
0.0002125,1.73905e+23
0.000221,1.7427e+23
0.0002295,1.74639e+23
0.000238,1.75012e+23
0.0002465,1.75388e+23
0.000255,1.75767e+23
0.0002635,1.76151e+23
0.000272,1.76538e+23
0.0002805,1.76929e+23
0.000289,1.77323e+23
0.0002975,1.77722e+23
0.000306,1.78124e+23
0.0003145,1.78531e+23
0.000323,1.78941e+23
0.0003315,1.79355e+23
0.00034,1.79774e+23
0.0003485,1.80196e+23
0.000357,1.80623e+23
0.0003655,1.81054e+23
0.000374,1.81489e+23
0.0003825,1.81929e+23
0.000391,1.82373e+23
0.0003995,1.82821e+23
0.000408,1.83274e+23
0.0004165,1.83731e+23
0.000425,1.84193e+23
0.0004335,1.8466e+23
0.000442,1.85131e+23
0.0004505,1.85606e+23
0.000459,1.86087e+23
0.0004675,1.86572e+23
0.000476,1.87062e+23
0.0004845,1.87558e+23
0.000493,1.88058e+23
0.0005015,1.88563e+23
0.00051,1.89073e+23
0.0005185,1.89588e+23
0.000527,1.90109e+23
0.0005355,1.90635e+23
0.000544,1.91166e+23
0.0005525,1.91702e+23
0.000561,1.92244e+23
0.0005695,1.92792e+23
0.000578,1.93345e+23
0.0005865,1.93903e+23
0.000595,1.94467e+23
0.0006035,1.95038e+23
0.000612,1.95613e+23
0.0006205,1.96195e+23
0.000629,1.96783e+23
0.0006375,1.97377e+23
0.000646,1.97976e+23
0.0006545,1.98582e+23
0.000663,1.99195e+23
0.0006715,1.99813e+23
0.00068,2.00438e+23
0.0006885,2.01069e+23
0.000697,2.01707e+23
0.0007055,2.02352e+23
0.000714,2.03003e+23
0.0007225,2.03661e+23
0.000731,2.04325e+23
0.0007395,2.04997e+23
0.000748,2.05676e+23
0.0007565,2.06361e+23
0.000765,2.07054e+23
0.0007735,2.07754e+23
0.000782,2.08461e+23
0.0007905,2.09176e+23
0.000799,2.09898e+23
0.0008075,2.10628e+23
0.000816,2.11366e+23
0.0008245,2.12111e+23
0.000833,2.12864e+23
0.0008415,2.13625e+23
0.00085,2.14394e+23
0.0008585,2.15171e+23
0.000867,2.15957e+23
0.0008755,2.1675e+23
0.000884,2.17553e+23
0.0008925,2.18363e+23
0.000901,2.19183e+23
0.0009095,2.20011e+23
0.000918,2.20847e+23
0.0009265,2.21693e+23
0.000935,2.22548e+23
0.0009435,2.23412e+23
0.000952,2.24285e+23
0.0009605,2.25167e+23
0.000969,2.26059e+23
0.0009775,2.26961e+23
0.000986,2.27872e+23
0.0009945,2.28793e+23
0.001003,2.29725e+23
0.0010115,2.30666e+23
0.00102,2.31617e+23
0.0010285,2.32578e+23
0.001037,2.3355e+23
0.0010455,2.34533e+23
0.001054,2.35526e+23
0.0010625,2.3653e+23
0.001071,2.37545e+23
0.0010795,2.38571e+23
0.001088,2.39608e+23
0.0010965,2.40657e+23
0.001105,2.41717e+23
0.0011135,2.42789e+23
0.001122,2.43872e+23
0.0011305,2.44968e+23
0.001139,2.46075e+23
0.0011475,2.47194e+23
0.001156,2.48326e+23
0.0011645,2.49471e+23
0.001173,2.50628e+23
0.0011815,2.51798e+23
0.00119,2.52981e+23
0.0011985,2.54177e+23
0.001207,2.55386e+23
0.0012155,2.56609e+23
0.001224,2.57845e+23
0.0012325,2.59095e+23
0.001241,2.60359e+23
0.0012495,2.61637e+23
0.001258,2.6293e+23
0.0012665,2.64237e+23
0.001275,2.65558e+23
0.0012835,2.66895e+23
0.001292,2.68246e+23
0.0013005,2.69613e+23
0.001309,2.70995e+23
0.0013175,2.72393e+23
0.001326,2.73806e+23
0.0013345,2.75236e+23
0.001343,2.76682e+23
0.0013515,2.78144e+23
0.00136,2.79622e+23
0.0013685,2.81118e+23
0.001377,2.82631e+23
0.0013855,2.8416e+23
0.001394,2.85708e+23
0.0014025,2.87273e+23
